q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0,0.3,0.3,0.3,0.7915385683063806,0.8166105772509966,0.6852497690189283,0.7290954773869347
2,1.2,0,0.3,0.3,0.3,1.0131133598790283,0.830327636994167,1.057259542991039,0.7071859296482412
3,1.2,0,0.3,0.3,0.3,0.6745023602004019,0.8070072436580803,0.8729159320678863,0.7553768844221106
4,1.2,0,0.3,0.3,0.3,0.2758485659442749,0.7962059900025557,0.5767191943182254,0.7999497487437186
5,1.2,0,0.3,0.3,0.3,1.477811471203741,0.7961248574626352,0.742962973256371,0.7521608040201005
1,1.2,0,0.3,0.4,0.3,0.7915385683063806,0.8166105772509966,0.6852497690189283,0.7290954773869347
2,1.2,0,0.3,0.4,0.3,1.0131133598790283,0.830327636994167,1.057259542991039,0.7071859296482412
3,1.2,0,0.3,0.4,0.3,0.6745023602004019,0.8070072436580803,0.8729159320678863,0.7553768844221106
4,1.2,0,0.3,0.4,0.3,0.2758485659442749,0.7962059900025557,0.5767191943182254,0.7999497487437186
5,1.2,0,0.3,0.4,0.3,1.477811471203741,0.7961248574626352,0.742962973256371,0.7521608040201005
1,1.2,0,0.3,0.5,0.3,0.7915385683063806,0.8166105772509966,0.6852497690189283,0.7290954773869347
2,1.2,0,0.3,0.5,0.3,1.0131133598790312,0.830327636994163,1.057259542991053,0.7071859296482412
3,1.2,0,0.3,0.5,0.3,0.6745023602004019,0.8070072436580803,0.8729159320678863,0.7553768844221106
4,1.2,0,0.3,0.5,0.3,0.2758485659442749,0.7962059900025557,0.5767191943182254,0.7999497487437186
5,1.2,0,0.3,0.5,0.3,1.477811471203741,0.7961248574626352,0.742962973256371,0.7521608040201005
1,1.2,0.3,0.3,0.3,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
2,1.2,0.3,0.3,0.3,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
3,1.2,0.3,0.3,0.3,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
4,1.2,0.3,0.3,0.3,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
5,1.2,0.3,0.3,0.3,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
1,1.2,0.3,0.3,0.4,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
2,1.2,0.3,0.3,0.4,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
3,1.2,0.3,0.3,0.4,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
4,1.2,0.3,0.3,0.4,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
5,1.2,0.3,0.3,0.4,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
1,1.2,0.3,0.3,0.5,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
2,1.2,0.3,0.3,0.5,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
3,1.2,0.3,0.3,0.5,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
4,1.2,0.3,0.3,0.5,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
5,1.2,0.3,0.3,0.5,0.1,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
1,1.2,0.3,0.3,0.3,0.2,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
2,1.2,0.3,0.3,0.3,0.2,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
3,1.2,0.3,0.3,0.3,0.2,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
4,1.2,0.3,0.3,0.3,0.2,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
5,1.2,0.3,0.3,0.3,0.2,1.8333333333333333,0.25,22.669127717653026,0.24623115577889448
