q_c_seed,lambda_1,lambda_2,lambda_3,aa,tau,cdist,ci_prob_mean,mse
4,0.3,0,1.5,1.2,0,0.275846841,0.796210381,0.576695973
4,0.3,0.5,1.5,1.2,0,0.275846841,0.796210381,0.576695973
4,0.3,1,1.5,1.2,0,0.275846841,0.796210381,0.576695973
4,0.3,1.5,1.5,1.2,0,0.275846841,0.796210381,0.576695973
4,0.4,1,1,1.2,0,0.275847675,0.796208372,0.576706796
4,0.4,1.5,1,1.2,0,0.275847675,0.796208372,0.576706796
4,0.4,2,1,1.2,0,0.275847675,0.796208372,0.576706796
4,0.4,0,1,1.2,0,0.275847675,0.796208372,0.576706796
4,0.4,0.5,1,1.2,0,0.275847675,0.796208372,0.576706796
4,0.3,0,0.5,1.2,0,0.275846808,0.796209604,0.576707532
4,0.3,0.5,0.5,1.2,0,0.275846808,0.796209604,0.576707532
4,0.3,2,0.5,1.2,0,0.275846808,0.796209604,0.576707532
4,0.3,1,0.5,1.2,0,0.275846808,0.796209604,0.576707532
4,0.3,1.5,0.5,1.2,0,0.275846808,0.796209604,0.576707532
4,0.4,0,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.4,0.5,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.4,1,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.4,1.5,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.4,2,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.3,2,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.3,1,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.3,1.5,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.3,0,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.3,0.5,0,1.2,0,0.275847925,0.796206653,0.576719109
4,0.4,0,0.5,1.2,0,0.275849285,0.796205063,0.576719212
4,0.4,0.5,0.5,1.2,0,0.275849285,0.796205063,0.576719212
4,0.4,1,0.5,1.2,0,0.275849285,0.796205063,0.576719212
4,0.4,1.5,0.5,1.2,0,0.275849285,0.796205063,0.576719212
4,0.4,2,0.5,1.2,0,0.275849285,0.796205063,0.576719212
2,0.2,0,2,1.2,0,0.740575072,0.809880838,0.643741352
2,0.2,0,1.5,1.2,0,0.740575662,0.809883621,0.643741887
2,0.2,0.5,1.5,1.2,0,0.740575662,0.809883621,0.643741887
2,0.2,2,1.5,1.2,0,0.740575662,0.809883621,0.643741887
2,0.2,1,1.5,1.2,0,0.740575662,0.809883621,0.643741887
2,0.2,1.5,1.5,1.2,0,0.740575662,0.809883621,0.643741887
2,0.2,0,1,1.2,0,0.740578528,0.809885094,0.643747868
2,0.2,0.5,1,1.2,0,0.740578528,0.809885094,0.643747868
2,0.2,2,1,1.2,0,0.740578528,0.809885094,0.643747868
2,0.2,1,1,1.2,0,0.740578528,0.809885094,0.643747868
2,0.2,1.5,1,1.2,0,0.740578528,0.809885094,0.643747868
2,0.2,0.5,0,1.2,0,0.740585607,0.809885191,0.643761379
2,0.2,0,0,1.2,0,0.740585607,0.809885191,0.643761379
2,0.2,1,0,1.2,0,0.740585607,0.809885191,0.643761379
2,0.2,1.5,0,1.2,0,0.740585607,0.809885191,0.643761379
2,0.2,2,0,1.2,0,0.740585607,0.809885191,0.643761379
2,0.2,0,0.5,1.2,0,0.740584278,0.809880725,0.643765392
2,0.2,0.5,0.5,1.2,0,0.740584278,0.809880725,0.643765392
2,0.2,1,0.5,1.2,0,0.740584278,0.809880725,0.643765392
2,0.2,1.5,0.5,1.2,0,0.740584278,0.809880725,0.643765392
2,0.2,2,0.5,1.2,0,0.740584278,0.809880725,0.643765392
1,0.3,0,0,1.2,0,0.791538568,0.816610577,0.685249769
1,0.3,0.5,0,1.2,0,0.791538568,0.816610577,0.685249769
1,0.3,1,0,1.2,0,0.791538568,0.816610577,0.685249769
1,0.3,1.5,0,1.2,0,0.791538568,0.816610577,0.685249769
1,0.3,2,0,1.2,0,0.791538568,0.816610577,0.685249769
1,0.3,0,0.5,1.2,0,0.791525075,0.816609454,0.68525272
1,0.3,0.5,0.5,1.2,0,0.791525075,0.816609454,0.68525272
1,0.3,1,0.5,1.2,0,0.791525075,0.816609454,0.68525272
1,0.3,1.5,0.5,1.2,0,0.791525075,0.816609454,0.68525272
1,0.3,2,0.5,1.2,0,0.791525075,0.816609454,0.68525272
1,0.3,0,1,1.2,0,0.791494853,0.816605349,0.685258995
1,0.3,0.5,1,1.2,0,0.791494853,0.816605349,0.685258995
1,0.3,1,1,1.2,0,0.791494853,0.816605349,0.685258995
1,0.3,1.5,1,1.2,0,0.791494853,0.816605349,0.685258995
1,0.3,2,1,1.2,0,0.791494853,0.816605349,0.685258995
1,0.3,0,1.5,1.2,0,0.791484073,0.816601464,0.685264297
1,0.3,0.5,1.5,1.2,0,0.791484073,0.816601464,0.685264297
1,0.3,1,1.5,1.2,0,0.791484073,0.816601464,0.685264297
1,0.3,1.5,1.5,1.2,0,0.791484073,0.816601464,0.685264297
1,0.3,2,1.5,1.2,0,0.791484073,0.816601464,0.685264297
1,0.3,0,2,1.2,0,0.791459987,0.81659694,0.685270915
5,0.3,1.5,1.5,1.2,0,1.477834355,0.796140752,0.742920708
5,0.3,2,1.5,1.2,0,1.477829616,0.796138059,0.742927987
5,0.3,1,1.5,1.2,0,1.477826348,0.796136006,0.742933503
5,0.3,0,1.5,1.2,0,1.477825328,0.79613532,0.742935351
5,0.3,0.5,1.5,1.2,0,1.477825328,0.79613532,0.742935351
5,0.3,1.5,1,1.2,0,1.477818834,0.796131135,0.742946532
5,0.3,2,1,1.2,0,1.477817593,0.796129675,0.742950287
5,0.3,1.5,0.5,1.2,0,1.477814845,0.796129039,0.74295217
5,0.3,2,0.5,1.2,0,1.477814225,0.796128337,0.742954041
5,0.3,1,0.5,1.2,0,1.477813476,0.796126887,0.742957736
5,0.3,0.5,0.5,1.2,0,1.477813476,0.796126887,0.742957736
5,0.3,0,0.5,1.2,0,1.477813476,0.796126887,0.742957736
5,0.3,0.5,1,1.2,0,1.477819169,0.796125463,0.742960672
5,0.3,0,1,1.2,0,1.477819169,0.796125463,0.742960672
5,0.3,1,1,1.2,0,1.477819169,0.796125463,0.742960672
5,0.3,2,0,1.2,0,1.477809121,0.796124376,0.742964662
5,0.3,1.5,0,1.2,0,1.477809122,0.796124376,0.742964662
5,0.3,0,0,1.2,0,1.477809125,0.796124376,0.742964662
5,0.3,0.5,0,1.2,0,1.477809125,0.796124376,0.742964662
5,0.3,1,0,1.2,0,1.477809125,0.796124376,0.742964662
5,0.1,1,0,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,1.5,0,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,2,0,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0,0.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0.5,0.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,1,0.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,1.5,0.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,2,0.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0,1,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0.5,1,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,1,1,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,1.5,1,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,2,1,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0,1.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0.5,1.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,1,1.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,1.5,1.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,2,1.5,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0,2,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0.5,0,1.2,0,1.218070128,0.811508942,0.75258403
5,0.1,0,0,1.2,0,1.218070128,0.811508942,0.75258403
5,0.2,2,1.5,1.2,0,1.13864298,0.791174098,0.785410009
5,0.2,1.5,1.5,1.2,0,1.13864298,0.791174098,0.785410009
5,0.2,1,1.5,1.2,0,1.13864298,0.791174098,0.785410009
5,0.2,0.5,1.5,1.2,0,1.138642979,0.791174098,0.785410009
5,0.2,0,1.5,1.2,0,1.138642979,0.791174098,0.785410009
5,0.2,2,0,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,2,0.5,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,2,1,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,1.5,0,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,1.5,1,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,1.5,0.5,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,1,1,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,1,0,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,1,0.5,1.2,0,1.138851692,0.791152958,0.785455276
5,0.2,0,0,1.2,0,1.138851691,0.791152958,0.785455276
5,0.2,0.5,0,1.2,0,1.138851691,0.791152958,0.785455276
5,0.2,0.5,1,1.2,0,1.13885169,0.791152958,0.785455276
5,0.2,0,1,1.2,0,1.13885169,0.791152958,0.785455276
5,0.2,0.5,0.5,1.2,0,1.138851689,0.791152958,0.785455276
5,0.2,0,0.5,1.2,0,1.138851689,0.791152958,0.785455276
5,0.2,0,2,1.2,0,1.138768467,0.791149565,0.785462421
2,0.1,2,0,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,2,0.5,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,1.5,0,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,1.5,0.5,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,2,1,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,1,0.5,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,1,0,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,2,1.5,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,1.5,1,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,1.5,1.5,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,1,1,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,1,1.5,1.2,0,1.071326176,0.794510378,0.787053286
2,0.1,0.5,0.5,1.2,0,1.071326176,0.794510377,0.787053286
2,0.1,0,0.5,1.2,0,1.071326176,0.794510377,0.787053286
2,0.1,0,0,1.2,0,1.071326176,0.794510377,0.787053286
2,0.1,0.5,0,1.2,0,1.071326175,0.794510377,0.787053286
2,0.1,0.5,1,1.2,0,1.071326174,0.794510377,0.787053286
2,0.1,0.5,1.5,1.2,0,1.071326174,0.794510377,0.787053286
2,0.1,0,1,1.2,0,1.071326174,0.794510377,0.787053286
2,0.1,0,1.5,1.2,0,1.071326174,0.794510377,0.787053286
2,0.1,0,2,1.2,0,1.071326174,0.794510377,0.787053286
4,0.1,0,0,1.2,0,1.661766451,0.811014907,0.807913965
4,0.1,0.5,0,1.2,0,1.661766451,0.811014907,0.807913965
