q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
1,1.2,0.3,0.3,1,0.1,0.0838188163563277,0.7486793389252865,0.3330778488170361,0.8181407035175879
1,1.2,0.3,0.3,5,0.1,0.13560895816155474,0.5611507881510235,1.2340064068857761,0.8082914572864321
1,1.2,0.3,0.3,0.1,0.2,0.0838188163563277,0.7486793389252865,0.3330778488170361,0.8181407035175879
1,1.2,0.3,0.3,0.2,0.2,0.0838188163563277,0.7486793389252865,0.3330778488170361,0.8181407035175879
1,1.2,0.3,0.3,0.5,0.2,0.0838188163563277,0.7486793389252865,0.3330778488170361,0.8181407035175879
1,1.2,0.3,0.3,1,0.2,0.0838188163563277,0.7486793389252865,0.3330778488170361,0.8181407035175879
1,1.2,0.3,0.3,5,0.2,0.1356092953559224,0.5611503616801059,1.2340107671771285,0.8082914572864321
1,1.2,0.3,0.3,0.1,0.5,0.08094223208458863,0.7467232417268183,0.3163832777905307,0.8283919597989949
1,1.2,0.3,0.3,0.2,0.5,0.08094223208458863,0.7467232417268183,0.3163832777905307,0.8283919597989949
1,1.2,0.3,0.3,0.5,0.5,0.08094223208458863,0.7467232417268183,0.3163832777905307,0.8283919597989949
1,1.2,0.3,0.3,1,0.5,0.08094223208458863,0.7467232417268183,0.3163832777905307,0.8283919597989949
1,1.2,0.3,0.3,5,0.5,0.13560838767453598,0.5611604107126921,1.234049057761358,0.8082914572864321
1,1.2,0.3,0.3,0.1,1,0.058801161134250324,0.7498706870447629,0.3374947277779276,0.8279899497487437
1,1.2,0.3,0.3,0.2,1,0.058801161134250324,0.7498706870447629,0.3374947277779276,0.8279899497487437
1,1.2,0.3,0.3,0.5,1,0.058801161134250324,0.7498706870447629,0.3374947277779276,0.8279899497487437
1,1.2,0.3,0.3,1,1,0.058801161134250324,0.7498706870447629,0.3374947277779276,0.8279899497487437
1,1.2,0.3,0.3,5,1,0.13557661264935145,0.5612557097514757,1.233281626331599,0.8109045226130653
1,1.2,0.3,0.3,0.1,5,1.4298302590302547,0.8359918855076961,3.187944201233647,0.6607035175879397
1,1.2,0.3,0.3,0.2,5,1.4298302590302547,0.8359918855076961,3.187944201233647,0.6607035175879397
1,1.2,0.3,0.3,0.5,5,1.4298302590302547,0.8359918855076961,3.187944201233647,0.6607035175879397
1,1.2,0.3,0.3,1,5,1.4298302590302547,0.8359918855076961,3.187944201233647,0.6607035175879397
1,1.2,0.3,0.3,5,5,1.4291317765501874,0.7614026868471724,10.443306426705377,0.704572864321608
1,1.2,0.6,0.3,0.1,0.1,0.09025217464684543,0.7536144870247432,0.33995206048766946,0.8148743718592965
1,1.2,0.6,0.3,0.2,0.1,0.09025217464684543,0.7536144870247432,0.33995206048766946,0.8148743718592965
1,1.2,0.6,0.3,0.5,0.1,0.09025217464684543,0.7536144870247432,0.33995206048766946,0.8148743718592965
1,1.2,0.6,0.3,1,0.1,0.09025217464684543,0.7536144870247432,0.33995206048766946,0.8148743718592965
1,1.2,0.6,0.3,5,0.1,0.1694302307932208,0.47831886161991916,1.701475417189915,0.7159296482412061
1,1.2,0.6,0.3,0.1,0.2,0.09025217464684543,0.7536144870247432,0.33995206048766946,0.8148743718592965
1,1.2,0.6,0.3,0.2,0.2,0.09025217464684543,0.7536144870247432,0.33995206048766946,0.8148743718592965
1,1.2,0.6,0.3,0.5,0.2,0.09025217464684543,0.7536144870247432,0.33995206048766946,0.8148743718592965
1,1.2,0.6,0.3,1,0.2,0.09025217464684543,0.7536144870247432,0.33995206048766946,0.8148743718592965
1,1.2,0.6,0.3,5,0.2,0.1694304790094756,0.4783161264274652,1.7014778036957585,0.7159296482412061
1,1.2,0.6,0.3,0.1,0.5,0.08887429712933932,0.752667690933304,0.33505560951520436,0.817035175879397
1,1.2,0.6,0.3,0.2,0.5,0.08887429712933932,0.752667690933304,0.33505560951520436,0.817035175879397
1,1.2,0.6,0.3,0.5,0.5,0.08887429712933932,0.752667690933304,0.33505560951520436,0.817035175879397
1,1.2,0.6,0.3,1,0.5,0.08887429712933932,0.752667690933304,0.33505560951520436,0.817035175879397
1,1.2,0.6,0.3,5,0.5,0.16943118266499982,0.4782935567923455,1.701414198243297,0.7563316582914573
1,1.2,0.6,0.3,0.1,1,0.08870260341113827,0.7527260534618674,0.3349787756131935,0.817035175879397
1,1.2,0.6,0.3,0.2,1,0.08870260341113827,0.7527260534618674,0.3349787756131935,0.817035175879397
1,1.2,0.6,0.3,0.5,1,0.08870260341113827,0.7527260534618674,0.3349787756131935,0.817035175879397
1,1.2,0.6,0.3,1,1,0.08870260341113827,0.7527260534618674,0.3349787756131935,0.817035175879397
1,1.2,0.6,0.3,5,1,0.16941476817049192,0.47922434222615407,1.7015847750838988,0.7028643216080402
1,1.2,0.6,0.3,0.1,5,0.05840237376860421,0.7495949914579725,0.3376268266668869,0.8279899497487437
1,1.2,0.6,0.3,0.2,5,0.05840237376860421,0.7495949914579725,0.3376268266668869,0.8279899497487437
1,1.2,0.6,0.3,0.5,5,0.05840237376860421,0.7495949914579725,0.3376268266668869,0.8279899497487437
1,1.2,0.6,0.3,1,5,0.05840237376860421,0.7495949914579725,0.3376268266668869,0.8279899497487437
1,1.2,0.6,0.3,5,5,0.16955184403729295,0.49452843055371726,1.7040510734026875,0.7006532663316583
