dt_seed,q_c_seed,aa,tau,l1,l2,l3,cdist,ci_prob_mean,mse,sc
9,2,1.2,0.5,0.3,0.5,1,0.0054447,0.716220325,0.203146281,0.834422111
9,3,1.2,0.5,0.3,0.5,1,0.005445831,0.716222236,0.2031495,0.834422111
9,4,1.2,0.5,0.3,0.5,1,0.999409437,0.80835394,0.821166187,0.761457286
9,5,1.2,0.5,0.3,0.5,1,0.603795422,0.777152955,0.805136422,0.731658291
9,6,1.2,0.5,0.3,0.5,1,0.005446863,0.716214837,0.203171507,0.834422111
9,7,1.2,0.5,0.3,0.5,1,1.206487726,0.739675733,0.901969628,0.742763819
9,8,1.2,0.5,0.3,0.5,1,0.005444021,0.716223073,0.203143046,0.834422111
9,9,1.2,0.5,0.3,0.5,1,1.206399825,0.774369618,0.877174973,0.768090452
9,10,1.2,0.5,0.3,0.5,1,0.005444171,0.716216342,0.203164957,0.834422111
9,1,1.2,0.5,0.3,0.1,2,0.005444971,0.716216358,0.203154101,0.834422111
9,2,1.2,0.5,0.3,0.1,2,0.0054447,0.716220325,0.203146281,0.834422111
9,3,1.2,0.5,0.3,0.1,2,0.005445831,0.716222236,0.2031495,0.834422111
9,4,1.2,0.5,0.3,0.1,2,1.187026208,0.824462236,0.863833859,0.764271357
9,5,1.2,0.5,0.3,0.1,2,0.603795422,0.777152955,0.805136422,0.731658291
9,6,1.2,0.5,0.3,0.1,2,0.005446863,0.716214837,0.203171507,0.834422111
9,7,1.2,0.5,0.3,0.1,2,1.206479903,0.737507062,0.901964259,0.742763819
9,8,1.2,0.5,0.3,0.1,2,0.005444021,0.716223073,0.203143046,0.834422111
9,9,1.2,0.5,0.3,0.1,2,1.204790547,0.793775277,0.866381502,0.766934673
9,10,1.2,0.5,0.3,0.1,2,0.005444171,0.716216342,0.203164957,0.834422111
9,1,1.2,0.5,0.3,0.2,2,0.005444971,0.716216358,0.203154101,0.834422111
9,2,1.2,0.5,0.3,0.2,2,0.0054447,0.716220325,0.203146281,0.834422111
9,3,1.2,0.5,0.3,0.2,2,0.005445831,0.716222236,0.2031495,0.834422111
9,4,1.2,0.5,0.3,0.2,2,1.187026208,0.824462236,0.863833859,0.764271357
9,5,1.2,0.5,0.3,0.2,2,0.603795422,0.777152955,0.805136422,0.731658291
9,6,1.2,0.5,0.3,0.2,2,0.005446863,0.716214837,0.203171507,0.834422111
9,7,1.2,0.5,0.3,0.2,2,1.206480372,0.736815726,0.901964539,0.742763819
9,8,1.2,0.5,0.3,0.2,2,0.005444021,0.716223073,0.203143046,0.834422111
9,9,1.2,0.5,0.3,0.2,2,1.204790547,0.793775277,0.866381502,0.766934673
9,10,1.2,0.5,0.3,0.2,2,0.005444171,0.716216342,0.203164957,0.834422111
9,1,1.2,0.5,0.3,0.5,2,0.005444971,0.716216358,0.203154101,0.834422111
9,2,1.2,0.5,0.3,0.5,2,0.0054447,0.716220325,0.203146281,0.834422111
9,3,1.2,0.5,0.3,0.5,2,0.005445831,0.716222236,0.2031495,0.834422111
9,4,1.2,0.5,0.3,0.5,2,1.187026208,0.824462236,0.863833859,0.764271357
9,5,1.2,0.5,0.3,0.5,2,0.603795422,0.777152955,0.805136422,0.731658291
9,6,1.2,0.5,0.3,0.5,2,0.005446863,0.716214837,0.203171507,0.834422111
9,7,1.2,0.5,0.3,0.5,2,1.206485029,0.736958013,0.901967872,0.742763819
9,8,1.2,0.5,0.3,0.5,2,0.005444021,0.716223073,0.203143046,0.834422111
9,9,1.2,0.5,0.3,0.5,2,1.206399825,0.774369618,0.877174973,0.768090452
9,10,1.2,0.5,0.3,0.5,2,0.005444171,0.716216342,0.203164957,0.834422111
9,1,1.2,0.5,0.3,1,2,0.005444971,0.716216358,0.203154101,0.834422111
9,2,1.2,0.5,0.3,1,2,0.0054447,0.716220325,0.203146281,0.834422111
9,3,1.2,0.5,0.3,1,2,0.005445831,0.716222236,0.2031495,0.834422111
9,4,1.2,0.5,0.3,1,2,1.187026208,0.824462236,0.863833859,0.764271357
9,5,1.2,0.5,0.3,1,2,0.603795422,0.777152955,0.805136422,0.731658291
9,6,1.2,0.5,0.3,1,2,0.005446863,0.716214837,0.203171507,0.834422111
9,7,1.2,0.5,0.3,1,2,1.206484715,0.736501162,0.901967861,0.742763819
9,8,1.2,0.5,0.3,1,2,0.005444021,0.716223073,0.203143046,0.834422111
9,9,1.2,0.5,0.3,1,2,1.206441261,0.739094884,0.901997531,0.742763819
9,10,1.2,0.5,0.3,1,2,0.005444171,0.716216342,0.203164957,0.834422111
9,1,1.2,0.5,0.3,0.1,4,0.005444971,0.716216358,0.203154101,0.834422111
9,2,1.2,0.5,0.3,0.1,4,0.0054447,0.716220325,0.203146281,0.834422111
9,3,1.2,0.5,0.3,0.1,4,0.005445831,0.716222236,0.2031495,0.834422111
9,4,1.2,0.5,0.3,0.1,4,1.187026208,0.824462236,0.863833859,0.764271357
9,5,1.2,0.5,0.3,0.1,4,1.520482751,0.832798344,2.750314772,0.660251256
9,6,1.2,0.5,0.3,0.1,4,0.005446863,0.716214837,0.203171507,0.834422111
9,7,1.2,0.5,0.3,0.1,4,1.206479903,0.737507062,0.901964259,0.742763819
9,8,1.2,0.5,0.3,0.1,4,0.005444021,0.716223073,0.203143046,0.834422111
