"q_c_seed","aa","l1","l2","l3","tau","cdist","mse"
"4","1.2","0.2","0","1.5","1e-04","1.259377","0.9596688"
"5","1.2","0.2","0","1.5","1e-04","1.138643","0.78541"
"1","1.2","0.3","0","1.5","1e-04","0.7914841","0.6852643"
"2","1.2","0.3","0","1.5","1e-04","1.013113","1.05726"
"3","1.2","0.3","0","1.5","1e-04","0.6745128","0.8728898"
"4","1.2","0.3","0","1.5","1e-04","0.2758468","0.576696"
"5","1.2","0.3","0","1.5","1e-04","1.477825","0.7429354"
"1","1.2","0.4","0","1.5","1e-04","0.9604113","1.004456"
"2","1.2","0.4","0","1.5","1e-04","1.279267","1.076486"
"3","1.2","0.4","0","1.5","1e-04","0.2709766","0.5372401"
"4","1.2","0.4","0","1.5","1e-04","0.2758419","0.5766645"
"5","1.2","0.4","0","1.5","1e-04","0.7701239","1.089792"
"1","1.2","0.5","0","1.5","1e-04","0.6184795","0.9018666"
"2","1.2","0.5","0","1.5","1e-04","1.586169","1.037418"
"3","1.2","0.5","0","1.5","1e-04","0.06050461","0.3307128"
"4","1.2","0.5","0","1.5","1e-04","1.21181","1.384554"
"5","1.2","0.5","0","1.5","1e-04","0.8062219","1.358621"
"1","1.2","0.1","0.5","1.5","1e-04","0.7641514","0.5258074"
"2","1.2","0.1","0.5","1.5","1e-04","1.071326","0.7870533"
"3","1.2","0.1","0.5","1.5","1e-04","0.00298307","0.02838807"
"4","1.2","0.1","0.5","1.5","1e-04","1.661766","0.807914"
"5","1.2","0.1","0.5","1.5","1e-04","1.21807","0.752584"
"1","1.2","0.2","0.5","1.5","1e-04","0.2157508","0.3641505"
"2","1.2","0.2","0.5","1.5","1e-04","0.7405757","0.6437419"
"3","1.2","0.2","0.5","1.5","1e-04","0.002256007","0.02439344"
"4","1.2","0.2","0.5","1.5","1e-04","1.259377","0.9596688"
"5","1.2","0.2","0.5","1.5","1e-04","1.138643","0.78541"
"1","1.2","0.3","0.5","1.5","1e-04","0.7914841","0.6852643"
"2","1.2","0.3","0.5","1.5","1e-04","1.013113","1.05726"
