"LymphocytesPN","StromaPN","TumorPN","LymphocytesSN","StromaSN","TumorSN"
0.483231657,4.061360874,8.275868221,0.00539847,0.044627496,0.949974034
1.538079974,10.30111168,14.8056947,0.045638191,0.137340556,0.817021253
0.196868775,11.23734102,13.12363718,0.002738459,0.250903267,0.746358274
1.192407297,4.776773518,8.037108482,0.037729466,0.116939386,0.845331148
0.091491621,18.84571944,21.1259106,0.001437017,0.380049608,0.618513376
0.035014717,12.52112937,13.00788007,0.000277249,0.437877736,0.561845015
0,7.201970518,10.12730518,0,0.096571239,0.903428761
0.115628122,14.25408304,15.97426005,0.003775121,0.408346138,0.587878741
0.088777029,6.64783839,9.35037705,0.001965607,0.180911874,0.817122519
3.692652858,15.56015507,19.19499751,0.078680804,0.355540405,0.565778791
0,12.47652918,14.40093643,0,0.228305124,0.771694876
0.401862797,0.760855004,5.417968417,0.004042818,0.006576913,0.98938027
0,11.45239288,13.3112705,0,0.221386291,0.778613709
0.331558905,19.24353113,19.64282857,0.009228015,0.351536237,0.639235748
0.029108699,15.20305943,15.93489712,0.000216578,0.336235851,0.663547571
0.090382366,12.38442952,14.97591665,0.001286739,0.199284399,0.799428862
0.010425756,17.03265281,17.56696463,3.7e-05,0.399113082,0.600849905
0.020721255,8.048160744,12.1102986,0.00030838,0.103333527,0.896358093
0,17.50414572,16.22181708,0,0.662298019,0.337701981
1.732593156,10.38757127,15.80153079,0.049246478,0.160184234,0.790569288
0.751216821,11.08082039,13.86528278,0.016363247,0.205361231,0.778275522
0,17.84998429,19.01592886,0,0.310885144,0.689114856
0,20.26348142,20.49791157,0,0.535283399,0.464716601
0.617144636,17.53308712,17.12099891,0.005581078,0.552070958,0.442347964
7.412644433,8.556596177,17.56834143,0.139926331,0.133228717,0.726844952
0.054020764,16.39813571,17.23598711,0.000371553,0.416419163,0.583209284
0.041738983,18.39174963,19.63113847,0.000331466,0.391642282,0.608026253
0.153269026,17.1959704,19.5943318,0.001662483,0.421491422,0.576846095
0.009937388,16.55329174,18.89752058,6.55e-05,0.451027795,0.548906741
