sample_id,LymphocytesPN,StromaPN,TumorPN,LymphocytesSN,StromaSN,TumorSN
TCGA.50.6593,0.044161004,12.27395436,9.872417427,0.000497283,0.822124021,0.177378696
TCGA.50.6594,0,5.597618742,8.510436544,0,0.085095777,0.914904223
TCGA.50.6597,0.665110129,9.732048632,13.76347266,0.006535533,0.174649685,0.818814782
TCGA.50.6673,1.773140486,13.76882572,13.30708718,0.046517134,0.486424299,0.467058568
TCGA.50.8457,0.275158894,13.60309402,11.10790483,0.002988505,0.546333689,0.450677806
TCGA.50.8459,0.70437039,12.55261304,16.75767406,0.015843629,0.247353431,0.73680294
TCGA.53.7624,1.267271375,6.408379295,10.54266618,0.02003974,0.098877866,0.881082394
TCGA.53.7626,2.915584923,13.69888697,8.242716336,0.070670428,0.792715059,0.136614513
TCGA.53.7813,3.60480511,2.796594923,9.562003654,0.059825935,0.048591474,0.891582591
TCGA.53.A4EZ,0.645875851,8.705963018,11.6662839,0.010411679,0.181971492,0.807616829
TCGA.55.1592,0.028941317,3.829463219,11.22328819,0.000199913,0.053722212,0.946077875
TCGA.55.1594,0.260741019,12.19798519,13.52474316,0.002360612,0.282477207,0.715162181
TCGA.55.1595,0.005419867,12.30834775,11.42684915,2.22E-05,0.483534552,0.51644327
TCGA.55.1596,0.014717078,15.25563285,11.14972841,7.57E-05,0.784080768,0.215843537
TCGA.55.6543,0,12.8309275,17.44013114,0,0.246180114,0.753819886
TCGA.55.6642,0,14.35459146,11.68611701,0,0.625299692,0.374700308
TCGA.55.6968,6.9901054,15.47316546,12.11617881,0.102062293,0.668824826,0.229112881
TCGA.55.6969,0.039774378,13.977206,14.5977153,0.000382804,0.501523088,0.498094108
TCGA.55.6970,0.163474038,17.76715649,19.03219034,0.001778974,0.452674302,0.545546725
TCGA.55.6971,0.093660901,14.81611082,16.86570193,0.001130199,0.243467356,0.755402445
TCGA.55.6972,0,3.477776146,9.663083926,0,0.028245807,0.971754193
TCGA.55.6975,0,14.69379034,13.51836206,0,0.48349859,0.51650141
TCGA.55.6980,0.338586552,17.73977784,16.39937534,0.004352993,0.485115401,0.510531606
TCGA.55.6981,0,8.926827128,5.701840839,0,0.915788532,0.084211468
TCGA.55.6982,0,10.33378776,7.613482919,0,0.892946277,0.107053723
TCGA.55.6983,0.545407972,15.254682,14.97246897,0.00787321,0.580212913,0.411913877
TCGA.55.6984,4.753474114,11.38301312,18.13619391,0.149269055,0.203793243,0.646937702
TCGA.55.6985,0.009136275,17.30207781,15.10407717,6.42E-05,0.717754089,0.282181754
TCGA.55.6986,0.067148005,9.405249011,14.77773166,0.000838284,0.183434821,0.815726895
TCGA.55.7227,0.01055422,15.82980902,16.74443499,7.32E-05,0.427445761,0.572480996
TCGA.55.7281,0.064921915,14.78418716,17.00397822,0.000857972,0.210174135,0.788967893
TCGA.55.7283,0.009111665,9.395265105,14.86843421,1.75E-05,0.23598997,0.763992549
TCGA.55.7284,0,16.64105171,18.9382056,0,0.488650863,0.511349137
TCGA.55.7570,0,20.54963152,23.0250146,0,0.446033253,0.553966747
TCGA.55.7573,0,14.79271534,18.10731213,0,0.247895349,0.752104651
TCGA.55.7576,0.283146085,13.28882299,14.52544399,0.003166998,0.261076661,0.735756341
TCGA.55.7724,0.483231657,4.061360874,8.275868221,0.00539847,0.044627496,0.949974034
TCGA.55.7725,1.538079974,10.30111168,14.8056947,0.045638191,0.137340556,0.817021253
TCGA.55.7726,0.196868775,11.23734102,13.12363718,0.002738459,0.250903267,0.746358274
TCGA.55.7727,1.192407297,4.776773518,8.037108482,0.037729466,0.116939386,0.845331148
